Iteration,Total SSR Count,Source,Genome Size,SSR Density
51,36,Micrococcus Luteus,2495693,0.014424851133532849
52,36,Micrococcus Luteus,2495693,0.014424851133532849
53,39,Micrococcus Luteus,2495693,0.015626922061327254
54,36,Micrococcus Luteus,2495693,0.014424851133532849
55,34,Micrococcus Luteus,2495693,0.013623470515003247
56,38,Micrococcus Luteus,2495693,0.015226231752062452
57,34,Micrococcus Luteus,2495693,0.013623470515003247
58,39,Micrococcus Luteus,2495693,0.015626922061327254
59,34,Micrococcus Luteus,2495693,0.013623470515003247
60,38,Micrococcus Luteus,2495693,0.015226231752062452
61,35,Micrococcus Luteus,2495693,0.014024160824268047
62,39,Micrococcus Luteus,2495693,0.015626922061327254
63,36,Micrococcus Luteus,2495693,0.014424851133532849
64,37,Micrococcus Luteus,2495693,0.01482554144279765
65,37,Micrococcus Luteus,2495693,0.01482554144279765
66,37,Micrococcus Luteus,2495693,0.01482554144279765
67,37,Micrococcus Luteus,2495693,0.01482554144279765
68,38,Micrococcus Luteus,2495693,0.015226231752062452
69,41,Micrococcus Luteus,2495693,0.016428302679856857
70,37,Micrococcus Luteus,2495693,0.01482554144279765
71,36,Micrococcus Luteus,2495693,0.014424851133532849
72,37,Micrococcus Luteus,2495693,0.01482554144279765
73,39,Micrococcus Luteus,2495693,0.015626922061327254
74,43,Micrococcus Luteus,2495693,0.017229683298386457
75,36,Micrococcus Luteus,2495693,0.014424851133532849
76,36,Micrococcus Luteus,2495693,0.014424851133532849
77,37,Micrococcus Luteus,2495693,0.01482554144279765
78,35,Micrococcus Luteus,2495693,0.014024160824268047
79,34,Micrococcus Luteus,2495693,0.013623470515003247
80,41,Micrococcus Luteus,2495693,0.016428302679856857
81,34,Micrococcus Luteus,2495693,0.013623470515003247
82,40,Micrococcus Luteus,2495693,0.016027612370592054
83,41,Micrococcus Luteus,2495693,0.016428302679856857
84,38,Micrococcus Luteus,2495693,0.015226231752062452
85,36,Micrococcus Luteus,2495693,0.014424851133532849
86,37,Micrococcus Luteus,2495693,0.01482554144279765
87,39,Micrococcus Luteus,2495693,0.015626922061327254
88,36,Micrococcus Luteus,2495693,0.014424851133532849
89,39,Micrococcus Luteus,2495693,0.015626922061327254
90,40,Micrococcus Luteus,2495693,0.016027612370592054
91,39,Micrococcus Luteus,2495693,0.015626922061327254
92,35,Micrococcus Luteus,2495693,0.014024160824268047
93,41,Micrococcus Luteus,2495693,0.016428302679856857
94,36,Micrococcus Luteus,2495693,0.014424851133532849
95,37,Micrococcus Luteus,2495693,0.01482554144279765
96,37,Micrococcus Luteus,2495693,0.01482554144279765
97,38,Micrococcus Luteus,2495693,0.015226231752062452
98,35,Micrococcus Luteus,2495693,0.014024160824268047
99,40,Micrococcus Luteus,2495693,0.016027612370592054
100,40,Micrococcus Luteus,2495693,0.016027612370592054
1,28,Mycoplasmoides Pneumoniae,817125,0.03426648309622151
2,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
3,31,Mycoplasmoides Pneumoniae,817125,0.0379378919993881
4,28,Mycoplasmoides Pneumoniae,817125,0.03426648309622151
5,28,Mycoplasmoides Pneumoniae,817125,0.03426648309622151
6,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
7,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
8,28,Mycoplasmoides Pneumoniae,817125,0.03426648309622151
9,26,Mycoplasmoides Pneumoniae,817125,0.031818877160777116
10,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
11,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
12,34,Mycoplasmoides Pneumoniae,817125,0.041609300902554686
13,31,Mycoplasmoides Pneumoniae,817125,0.0379378919993881
14,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
15,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
16,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
17,27,Mycoplasmoides Pneumoniae,817125,0.03304268012849931
18,28,Mycoplasmoides Pneumoniae,817125,0.03426648309622151
19,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
20,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
21,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
22,29,Mycoplasmoides Pneumoniae,817125,0.03549028606394371
23,32,Mycoplasmoides Pneumoniae,817125,0.0391616949671103
24,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
25,31,Mycoplasmoides Pneumoniae,817125,0.0379378919993881
26,36,Mycoplasmoides Pneumoniae,817125,0.04405690683799908
27,31,Mycoplasmoides Pneumoniae,817125,0.0379378919993881
28,31,Mycoplasmoides Pneumoniae,817125,0.0379378919993881
29,27,Mycoplasmoides Pneumoniae,817125,0.03304268012849931
30,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
31,28,Mycoplasmoides Pneumoniae,817125,0.03426648309622151
32,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
33,28,Mycoplasmoides Pneumoniae,817125,0.03426648309622151
34,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
35,30,Mycoplasmoides Pneumoniae,817125,0.036714089031665904
36,28,Mycoplasmoides Pneumoniae,817125,0.03426648309622151
